CBSAFP,GDP pc,Diversity,Log_GDPpc
23180,45263.92986,60,4.655752257
23240,33726.78742,69,4.527974975
23300,39823.47513,51,4.600139155
23340,47094.627,53,4.672971362
23380,46135.52292,53,4.664035447
23420,39590.1554,91,4.597587206
23460,27251.96491,54,4.435397821
23500,27862.41847,46,4.445018811
23540,41836.73962,64,4.621557832
23580,44135.42431,63,4.644787306
23620,78294.9611,57,4.893733813
23660,33567.68962,59,4.525921451
23700,30455.31216,50,4.483663055
23780,60635.83233,59,4.782729343
23820,47405.64794,52,4.675830087
23860,34857.43966,66,4.542295484
23900,34719.25024,64,4.540570338
23940,125622.638,44,5.099067909
23980,27726.77931,46,4.442899426
24020,43706.91088,71,4.640550112
24060,83744.67781,54,4.922957216
24100,32731.39086,56,4.51496446
24140,35347.09893,64,4.548353775
24220,47238.9652,72,4.674300376
24260,52915.3,63,4.723581263
24300,36432.09992,74,4.561484204
24340,50026.59004,74,4.699200901
24420,26212.98146,74,4.41851642
24460,45902.61671,56,4.661837443
24500,39809.17274,70,4.599983153
24540,66467.07387,76,4.82260656
24580,57653.44015,68,4.760825227
24620,31312.7497,59,4.495721206
24640,38579.31434,72,4.586354505
24660,48822.87763,92,4.688623373
24700,47316.91069,49,4.675016382
24740,29737.47194,66,4.473304045
24780,47507.76407,61,4.676764591
24820,36365.65156,50,4.560691373
24860,43647.69551,78,4.639961319
24900,28522.75228,48,4.45519143
24940,32307.0217,53,4.509296923
24980,38962.07303,43,4.590642056
25060,41499.53724,44,4.618043254
25100,94939.41248,28,4.97744654
25180,36537.60975,77,4.562740133
25200,55138.30797,64,4.741453435
25220,26843.75836,65,4.428843321
25260,38105.28643,51,4.58098523
25300,35362.61903,51,4.548544422
25420,61667.08343,68,4.790053409
25460,27324.2549,61,4.436548328
25540,74394.26491,80,4.871539457
25580,56549.09687,58,4.752425673
25620,33996.51313,71,4.531434376
25700,51118.66925,63,4.708579539
25720,25266.48704,57,4.402544863
25740,41655.30943,67,4.619670365
25760,22565.25393,52,4.353440225
25780,26994.70353,54,4.431278562
25820,102810.1259,43,5.012035891
25840,49640.71135,51,4.695837996
25860,36595.38242,69,4.56342629
25880,31599.53264,55,4.499680659
25900,36531.31436,60,4.562665298
25940,36547.3411,54,4.562855787
25980,42548.8734,46,4.628888065
26020,73629.68339,46,4.867052933
26090,34040.47193,68,4.531995572
26140,24240.68453,54,4.38454488
26220,44830.18623,58,4.651570543
26300,29779.92192,67,4.473923555
26340,26704.62633,58,4.426586505
26380,42529.92002,54,4.628694566
26420,66075.7357,79,4.820042007
26460,38136.90564,74,4.581345452
26500,28182.15851,59,4.449974253
26540,36616.94159,52,4.563682067
26580,38932.65225,76,4.590313991
26620,54346.48051,57,4.735171424
26660,24636.84479,64,4.391585088
26700,49665.96893,49,4.696058913
26740,33722.44188,71,4.527919015
26780,48896.93952,55,4.689281677
26820,42655.60247,74,4.62997608
26860,45668.53583,71,4.659617088
26900,59584.16146,90,4.775130832
26940,24234.9259,44,4.384441696
26960,22219.99533,55,4.346743963
26980,53880.57101,57,4.73143219
27020,43311.45948,55,4.636602819
27060,53298.90724,35,4.726718305
27100,33967.31188,60,4.531061179
27140,42694.56153,73,4.630372558
27160,28655.21265,49,4.457203636
27180,46173.00261,69,4.664388117
27220,69176.97624,53,4.839961575
27260,46699.6167,90,4.669313316
27300,37930.06271,59,4.578983561
27340,37039.64305,69,4.568666793
27380,26985.27087,52,4.431126782
27420,54831.18728,54,4.73902765
27460,34501.87921,77,4.53784275
27500,39171.61307,78,4.592971456
27540,59754.8966,46,4.776373499
27600,39288.51915,50,4.59426566
27620,46429.16292,63,4.666790854
27700,22866.2361,48,4.359194683
27740,31755.31102,54,4.501816371
27780,32411.01125,72,4.510692582
27860,34048.98794,71,4.532104208
27900,38901.4505,75,4.589965795
27920,75588.28847,47,4.878454512
27940,70341.35445,67,4.847210727
28020,43390.78034,75,4.637397461
28060,38470.63871,66,4.585129397
28100,44716.745,70,4.650470183
28140,56089.14304,85,4.748878805
28180,47937.64495,46,4.680676694
28260,52703.83394,69,4.721842209
28300,44145.60338,61,4.644887457
28340,37127.2137,54,4.569692358
28380,21297.95572,40,4.32833792
28420,47884.37285,71,4.680193804
28500,32343.70748,60,4.509789801
28540,59516.13372,55,4.774634711
28580,55512.75855,48,4.744392809
28620,52128.60077,46,4.717076068
28660,37170.59595,66,4.570199524
28700,37162.71204,68,4.5701074
28740,35412.92971,82,4.549161857
28780,41922.73759,48,4.622449635
28820,47203.82788,46,4.673977218
28860,25736.72381,48,4.410553262
28900,31523.54157,59,4.498635003
28940,43687.77025,75,4.64035988
29020,47040.7549,44,4.672474283
29060,42635.4033,71,4.629770375
29100,51116.41669,71,4.708560402
29180,40468.76775,75,4.607119981
29200,42410.85806,62,4.627477059
29260,32624.95207,55,4.513549882
29300,44409.31562,39,4.64747408
29340,68905.84009,75,4.838256032
29380,28065.80087,44,4.44817744
