CBSAFP,GDP pc,Diversity,Log_GDPpc
49220,49861.57544,61,4.697765996
49260,55643.46625,57,4.745414176
49300,44506.08193,76,4.648419363
49340,46150.35371,86,4.664175034
49380,55411.41813,44,4.743599265
49420,37314.05516,78,4.571872449
49460,46062.02269,47,4.663343005
49620,42461.19474,90,4.62799221
49660,35449.87407,84,4.549614697
49700,34323.61195,70,4.535592983
49740,33718.18673,70,4.527864211
49780,39853.19575,64,4.600463152
49820,58316.43551,25,4.765790971
