Source,Target,Type,Weight
3115,3132,Directed,0.295657
3115,3161,Directed,0.203887
3115,3162,Directed,0.392008
3115,3231,Directed,0.202645
3115,3241,Directed,0.323388
3115,3251,Directed,0.233211
3115,3253,Directed,0.452054
3115,3254,Directed,0.376633
3115,3259,Directed,0.278646
3115,3273,Directed,0.321305
3115,3315,Directed,0.35815
3115,3328,Directed,0.216273
3115,3333,Directed,0.356579
3115,3341,Directed,0.296002
3115,3345,Directed,0.207613
3115,3352,Directed,0.328187
3115,3371,Directed,0.213906
3115,3391,Directed,0.205061
3115,4235,Directed,0.253045
3115,4241,Directed,0.216273
3115,4248,Directed,0.237106
3115,4855,Directed,0.201242
3115,4931,Directed,0.222487
3115,5611,Directed,0.26124
3115,6112,Directed,0.380426
3116,1152,Directed,0.502426
3116,8129,Directed,0.333301
3117,3113,Directed,0.299403
3117,3114,Directed,0.521282
3117,3115,Directed,0.234708
3117,3119,Directed,0.857121
3117,3121,Directed,0.621367
3117,3131,Directed,0.295189
3117,3161,Directed,0.210148
3117,3169,Directed,0.345006
3117,3221,Directed,0.201285
3117,3253,Directed,0.329951
3117,3256,Directed,0.435368
3117,3273,Directed,0.282539
3117,3274,Directed,0.399652
3117,3313,Directed,0.228078
3117,3315,Directed,0.217675
3117,3323,Directed,0.359647
3117,3335,Directed,0.322707
3117,3336,Directed,0.242499
3117,3342,Directed,0.341026
3117,3344,Directed,0.231561
3117,3361,Directed,0.342614
3117,3364,Directed,0.532278
3117,3366,Directed,0.230535
3117,4236,Directed,0.252437
3117,4238,Directed,0.293055
3117,4241,Directed,0.273287
3117,4243,Directed,0.216797
3117,4249,Directed,0.48652
3117,4422,Directed,0.208233
3117,4512,Directed,0.27092
3117,4531,Directed,0.342614
3117,4831,Directed,0.342614
3117,5211,Directed,0.252437
3117,5616,Directed,0.279395
3117,5619,Directed,0.223473
3117,7114,Directed,0.312313
3118,3115,Directed,0.209197
3118,3162,Directed,0.276296
3118,3274,Directed,0.20781
3118,4247,Directed,0.201663
3118,7225,Directed,0.217107
3119,3112,Directed,0.24373
3119,3114,Directed,0.334784
3119,3117,Directed,0.739484
3119,3121,Directed,0.478943
3119,3122,Directed,0.250463
3119,3131,Directed,0.235223
3119,3169,Directed,0.218094
3119,3251,Directed,0.250463
3119,3253,Directed,0.255427
3119,3273,Directed,0.256653
3119,3315,Directed,0.282648
3119,3361,Directed,0.34064
3119,4249,Directed,0.308455
3119,4531,Directed,0.34064
3121,3112,Directed,0.356095
3121,3114,Directed,0.333671
3121,3115,Directed,0.398683
3121,3117,Directed,0.571314
3121,3119,Directed,0.482229
3121,3132,Directed,0.220026
3121,3141,Directed,0.20528
3121,3169,Directed,0.21236
3121,3241,Directed,0.211162
3121,3253,Directed,0.290759
3121,3256,Directed,0.328276
3121,3259,Directed,0.211969
3121,3262,Directed,0.235521
3121,3273,Directed,0.303476
3121,3315,Directed,0.235521
3121,3333,Directed,0.315225
3121,3341,Directed,0.214766
3121,3352,Directed,0.474404
3121,3364,Directed,0.328276
3121,3365,Directed,0.202145
3121,3399,Directed,0.229912
3121,4235,Directed,0.24436
3121,4249,Directed,0.203337
3121,4855,Directed,0.208351
3121,6112,Directed,0.274831
3121,6113,Directed,0.211162
3122,2122,Directed,0.230811
3122,3114,Directed,0.304627
3122,3117,Directed,0.417331
3122,3121,Directed,0.431787
3122,3131,Directed,0.238235
3122,3132,Directed,0.257929
3122,3133,Directed,0.255696
3122,3141,Directed,0.227389
3122,3221,Directed,0.34845
3122,3251,Directed,0.274664
3122,3255,Directed,0.354635
3122,3256,Directed,0.253475
3122,3271,Directed,0.216333
3122,3313,Directed,0.2613
3122,3314,Directed,0.213966
3122,3315,Directed,0.382569
3122,3321,Directed,0.200946
3122,3323,Directed,0.302693
3122,3326,Directed,0.217759
3122,3331,Directed,0.258676
3122,3333,Directed,0.212395
3122,3341,Directed,0.320421
3122,3353,Directed,0.323724
3122,3361,Directed,0.410598
3122,3364,Directed,0.253475
3122,4234,Directed,0.320421
3122,4235,Directed,0.215317
3122,4247,Directed,0.308522
3122,4249,Directed,0.253475
3122,4512,Directed,0.213966
3122,4541,Directed,0.204626
3122,4855,Directed,0.209271
3122,4882,Directed,0.250221
3122,4889,Directed,0.222307
3122,5616,Directed,0.20605
3122,6231,Directed,0.216333
3122,7223,Directed,0.226416
3131,3112,Directed,0.317895
3131,3114,Directed,0.341227
3131,3115,Directed,0.293535
3131,3121,Directed,0.390445
3131,3122,Directed,0.311264
3131,3133,Directed,0.562809
3131,3141,Directed,0.320894
3131,3151,Directed,0.530107
3131,3162,Directed,0.299365
3131,3221,Directed,0.515384
3131,3251,Directed,0.390445
3131,3253,Directed,0.405169
3131,3254,Directed,0.329748
3131,3255,Directed,0.258328
3131,3256,Directed,0.369256
3131,3259,Directed,0.392057
3131,3262,Directed,0.373412
3131,3271,Directed,0.207176
3131,3273,Directed,0.432027
3131,3313,Directed,0.303295
3131,3314,Directed,0.329748
3131,3315,Directed,0.452593
3131,3328,Directed,0.383267
3131,3334,Directed,0.20363
3131,3336,Directed,0.222144
3131,3339,Directed,0.267684
3131,3353,Directed,0.273174
3131,3359,Directed,0.273174
3131,3362,Directed,0.276502
3131,3364,Directed,0.545347
3131,3369,Directed,0.261903
3131,3371,Directed,0.204809
3131,3391,Directed,0.373775
3131,4232,Directed,0.395908
3131,4235,Directed,0.315304
3131,4241,Directed,0.450214
3131,4245,Directed,0.360482
3131,4247,Directed,0.299365
3131,4841,Directed,0.221653
3131,4842,Directed,0.349053
3131,4885,Directed,0.256907
3131,5191,Directed,0.283235
3131,5232,Directed,0.287783
3131,5621,Directed,0.222706
3131,6115,Directed,0.201193
3131,7223,Directed,0.331203
3131,7225,Directed,0.332114
3132,3131,Directed,0.277442
3132,3151,Directed,0.277442
3132,3162,Directed,0.32654
3132,3221,Directed,0.320711
3132,3262,Directed,0.206767
3132,3315,Directed,0.292682
3132,4232,Directed,0.201235
3132,4234,Directed,0.213501
3132,7223,Directed,0.344805
3132,7225,Directed,0.265759
3133,3122,Directed,0.380211
3133,3131,Directed,0.422963
3133,3151,Directed,0.474116
3133,3221,Directed,0.329059
3133,3255,Directed,0.276123
3133,3262,Directed,0.294297
3133,3313,Directed,0.219632
3133,4234,Directed,0.255273
3133,4243,Directed,0.446029
3133,4247,Directed,0.259168
3133,5211,Directed,0.380211
3133,5241,Directed,0.20412
3133,7223,Directed,0.300447
3133,7225,Directed,0.238334
3141,3112,Directed,0.242138
3141,3131,Directed,0.291624
3141,3132,Directed,0.311318
3141,3149,Directed,0.544638
3141,3151,Directed,0.291624
3141,3159,Directed,0.483272
3141,3221,Directed,0.343847
3141,3222,Directed,0.203323
3141,3241,Directed,0.376837
3141,3251,Directed,0.290265
3141,3253,Directed,0.253835
3141,3254,Directed,0.392294
3141,3255,Directed,0.241693
3141,3256,Directed,0.306864
3141,3259,Directed,0.32427
3141,3273,Directed,0.388118
3141,3314,Directed,0.216203
3141,3315,Directed,0.390201
3141,3328,Directed,0.366632
3141,3352,Directed,0.276901
3141,3361,Directed,0.259867
3141,3363,Directed,0.256271
3141,3372,Directed,0.228052
3141,4235,Directed,0.236521
3141,4237,Directed,0.313813
3141,4247,Directed,0.361911
3141,4512,Directed,0.267355
3141,5211,Directed,0.248872
3149,2121,Directed,0.371694
3149,3131,Directed,0.271024
3149,3132,Directed,0.207381
3149,3133,Directed,0.252573
3149,3141,Directed,0.311688
3149,3151,Directed,0.316782
3149,3152,Directed,0.649247
3149,3159,Directed,0.359813
3149,3253,Directed,0.201388
3149,4247,Directed,0.252371
3149,5211,Directed,0.27403
3149,6211,Directed,0.267296
3151,2121,Directed,0.517316
3151,3112,Directed,0.401922
3151,3114,Directed,0.306947
3151,3115,Directed,0.305012
3151,3117,Directed,0.322741
3151,3119,Directed,0.298382
3151,3121,Directed,0.329372
3151,3122,Directed,0.322741
3151,3131,Directed,0.784622
3151,3132,Directed,0.318241
3151,3133,Directed,0.691671
3151,3141,Directed,0.332371
3151,3152,Directed,0.203494
3151,3162,Directed,0.310842
3151,3211,Directed,0.290212
3151,3221,Directed,0.593808
3151,3241,Directed,0.200829
3151,3253,Directed,0.416646
3151,3255,Directed,0.218653
3151,3256,Directed,0.255794
3151,3259,Directed,0.227443
3151,3262,Directed,0.287979
3151,3274,Directed,0.248108
3151,3315,Directed,0.46407
3151,3322,Directed,0.294712
3151,3323,Directed,0.305012
3151,3325,Directed,0.228736
3151,3331,Directed,0.260996
3151,3336,Directed,0.336284
3151,3341,Directed,0.225831
3151,3342,Directed,0.41133
3151,3353,Directed,0.326044
3151,3359,Directed,0.238894
3151,3364,Directed,0.380733
3151,3369,Directed,0.222227
3151,4232,Directed,0.203265
3151,4241,Directed,0.315563
3151,4247,Directed,0.310842
3151,4511,Directed,0.230684
3151,4885,Directed,0.23842
3151,5121,Directed,0.225831
3151,5241,Directed,0.322741
3151,5616,Directed,0.240554
3151,7225,Directed,0.218653
3152,3112,Directed,0.250489
3152,3122,Directed,0.271011
3152,3141,Directed,0.232336
