Source,Target,Type,Id,Label,timeset,Weight
551,334,Directed,3431,,,0.250189
531,315,Directed,3159,,,1.205399
541,325,Directed,3381,,,0.216658
551,335,Directed,3432,,,0.49225
531,316,Directed,3160,,,1.244101
541,326,Directed,3324,,,0.214608
551,336,Directed,3434,,,0.57483
525,311,Directed,3124,,,0.870218
541,327,Directed,3325,,,0.539592
524,311,Directed,3082,,,1.199902
424,212,Directed,2121,,,0.434777
523,311,Directed,2959,,,4.447962
524,312,Directed,3085,,,0.294754
423,212,Directed,1983,,,1.04816
522,311,Directed,2910,,,1.009695
523,312,Directed,2962,,,2.914923
524,313,Directed,3086,,,0.434416
521,311,Directed,2855,,,2.636921
522,312,Directed,2933,,,0.247554
525,315,Directed,3127,,,0.438201
541,331,Directed,3353,,,0.26304
521,312,Directed,2860,,,1.156268
522,313,Directed,2934,,,0.200129
523,314,Directed,3003,,,0.235395
524,315,Directed,3087,,,0.665059
541,332,Directed,3401,,,0.468107
521,313,Directed,2862,,,0.42368
523,315,Directed,2963,,,2.206152
524,316,Directed,3088,,,0.231702
533,325,Directed,3255,,,0.254467
541,333,Directed,3291,,,1.784523
521,314,Directed,2863,,,0.291101
522,315,Directed,2911,,,0.878003
523,316,Directed,3005,,,1.361809
532,325,Directed,3226,,,0.214645
541,334,Directed,3311,,,2.096387
519,313,Directed,2847,,,0.218392
521,315,Directed,2864,,,0.72471
522,316,Directed,2936,,,0.6995
531,325,Directed,3161,,,0.478851
533,327,Directed,3256,,,0.299653
541,335,Directed,3313,,,1.459275
517,312,Directed,2840,,,0.247403
521,316,Directed,2865,,,0.643152
541,336,Directed,3276,,,1.949002
515,311,Directed,2832,,,0.214963
525,321,Directed,3128,,,0.222501
531,327,Directed,3179,,,0.485559
424,221,Directed,2201,,,0.20031
524,321,Directed,3089,,,0.250901
533,331,Directed,3257,,,0.298132
813,611,Directed,3939,,,0.208517
512,311,Directed,2772,,,2.462816
523,322,Directed,2964,,,0.634189
533,332,Directed,3258,,,0.270198
812,611,Directed,3904,,,0.258532
512,312,Directed,2776,,,0.549703
515,315,Directed,2833,,,0.238943
521,321,Directed,2867,,,0.713503
522,322,Directed,2912,,,0.231786
524,324,Directed,3090,,,0.203876
531,331,Directed,3180,,,0.606356
533,333,Directed,3259,,,0.240629
811,611,Directed,3891,,,0.245373
512,313,Directed,2777,,,0.282892
521,322,Directed,2869,,,0.425556
524,325,Directed,3114,,,0.28992
531,332,Directed,3205,,,0.219075
533,334,Directed,3260,,,0.499063
622,423,Directed,3675,,,0.221741
711,512,Directed,3785,,,0.363482
511,313,Directed,2767,,,0.236798
523,325,Directed,2965,,,1.103954
531,333,Directed,3206,,,0.265225
533,335,Directed,3262,,,0.239286
512,315,Directed,2778,,,0.658331
531,334,Directed,3207,,,0.21829
311,115,Directed,141,,,0.904155
523,327,Directed,2966,,,1.634736
531,335,Directed,3181,,,0.748605
522,327,Directed,2913,,,0.536379
531,336,Directed,3183,,,1.197704
521,327,Directed,2870,,,0.753831
525,331,Directed,3129,,,0.29374
531,337,Directed,3211,,,0.222755
524,331,Directed,3091,,,0.234056
525,332,Directed,3130,,,1.107053
517,325,Directed,2841,,,0.27262
523,331,Directed,2967,,,1.637222
525,333,Directed,3134,,,0.485952
512,321,Directed,2812,,,0.300733
522,331,Directed,2939,,,0.298707
523,332,Directed,2968,,,2.961863
524,333,Directed,3092,,,0.47463
525,334,Directed,3136,,,0.529647
